,name,artist,dancibility,energy,key,loudness,speechiness,instrumentalness,liveness,valence,tempo,prediction,rating,userid,target
182,Ghost Town,Kanye West,0.573,0.545,7,-4.247,0.0288,0,0.329,0.297,83.378,Row(prediction=0),8.134003581,3,0
183,Don't Stop Believin',Journey,0.5,0.748,4,-9.072,0.0363,0,0.447,0.514,118.852,Row(prediction=0),8.134003581,3,0
184,Babe (Taylor's Version) (From The Vault),Taylor Swift,0.584,0.743,4,-7.075,0.0931,2.83E-06,0.121,0.746,167.844,Row(prediction=3),8.621806591,3,0
185,Need to Know,Doja Cat,0.664,0.609,1,-6.509,0.0707,0,0.0926,0.194,130.041,Row(prediction=1),8.621806591,3,0
186,Martin & Gina,Polo G,0.832,0.534,1,-7.813,0.253,0,0.165,0.116,93.924,Row(prediction=1),5.911137402,3,0
187,Rolling in the Deep,Adele,0.73,0.769,8,-5.114,0.0298,0,0.0473,0.507,104.948,Row(prediction=2),8.621806591,3,0
188,Wildest Dreams (Taylor's Version),Taylor Swift,0.583,0.67,8,-7.289,0.0646,0.0001,0.126,0.498,140.061,Row(prediction=4),8.621806591,3,0
189,I Drink Wine,Adele,0.437,0.565,10,-5.596,0.0466,0,0.119,0.306,115.389,Row(prediction=6),8.621806591,3,0
190,Gang Shit No Lame Shit,Key Glock,0.828,0.434,5,-10.609,0.301,0,0.0806,0.38,115.071,Row(prediction=6),3.021330993,3,0
191,Moth To A Flame (with The Weeknd),Swedish House Mafia,0.542,0.659,8,-7.289,0.0389,0,0.105,0.109,120.122,Row(prediction=6),8.621806591,3,0
192,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),"Tyler, The Creator",0.493,0.653,0,-5.666,0.0466,0,0.511,0.852,142.347,Row(prediction=5),3.423703732,3,0
193,Je te laisserai des mots,Patrick Watson,0.303,0.187,2,-16.757,0.0356,0.489,0.101,0.213,132.731,Row(prediction=7),5.492151291,3,0
194,THATS WHAT I WANT,Lil Nas X,0.737,0.846,1,-4.51,0.22,0,0.0486,0.546,87.981,Row(prediction=5),5.911137402,3,0
195,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Taylor Swift,0.391,0.715,0,-4.516,0.0495,0,0.183,0.473,149.654,Row(prediction=5),8.621806591,3,0
196,All Night Parking (with Erroll Garner) Interlude,Adele,0.734,0.497,8,-9.666,0.166,2.35E-05,0.194,0.307,127.989,Row(prediction=6),3.021330993,3,0
197,Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version,Gene Autry,0.834,0.371,1,-11.99,0.0358,0,0.275,0.976,96.628,Row(prediction=5),3.423703732,3,0
198,After Dark,Mr.Kitty,0.585,0.595,8,-10.444,0.0328,0.266,0.0837,0.039,140.037,Row(prediction=6),0.001834581894,3,0
199,She Knows (feat. Amber Coffman & Cults),J. Cole,0.766,0.74,1,-10.363,0.0807,0.0784,0.229,0.183,118.008,Row(prediction=1),8.621806591,3,0
200,Heat Waves,Glass Animals,0.761,0.525,11,-6.9,0.0944,6.7E-06,0.0921,0.531,80.87,Row(prediction=2),9.999432898,4,0
201,Ms. Jackson,Outkast,0.843,0.806,4,-5.946,0.269,0,0.0771,0.613,94.948,Row(prediction=3),4.745638466,4,0
202,Hurricane,Kanye West,0.587,0.561,0,-6.569,0.146,0,0.109,0.351,80.009,Row(prediction=1),4.745638466,4,0
203,Ramen & OJ,Joyner Lucas,0.597,0.571,1,-6.205,0.293,0,0.093,0.165,106.196,Row(prediction=1),4.745638466,4,0
204,Come & Go (with Marshmello),Juice WRLD,0.625,0.814,0,-5.181,0.0657,0,0.158,0.535,144.991,Row(prediction=5),8.134003581,4,0
205,Happy Xmas (War Is Over) - Remastered 2010,John Lennon,0.321,0.64,2,-10.023,0.0324,0,0.718,0.414,146.172,Row(prediction=0),4.565296499,4,0
206,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,0.677,0.696,0,-6.181,0.119,0,0.42,0.464,90.03,Row(prediction=1),0.6264156295,4,0
207,I Think I'm OKAY (with YUNGBLUD & Travis Barker),Machine Gun Kelly,0.628,0.744,7,-4.718,0.0379,0,0.313,0.277,119.921,Row(prediction=0),6.369051207,4,0
208,White Christmas,Bing Crosby,0.317,0.158,9,-16.485,0.0381,0.353,0.338,0.247,130.503,Row(prediction=6),0.1606649064,4,0
209,Can I Get It,Adele,0.703,0.68,9,-6.118,0.0431,0,0.178,0.536,97.985,Row(prediction=2),9.999432898,4,0
210,Better Man (Taylor's Version) (From The Vault),Taylor Swift,0.473,0.579,4,-5.824,0.0384,0,0.0877,0.255,73.942,Row(prediction=7),9.999432898,4,0
211,Wants and Needs (feat. Lil Baby),Drake,0.578,0.449,1,-6.349,0.286,2.17E-06,0.119,0.1,136.006,Row(prediction=1),4.745638466,4,0
212,brutal,Olivia Rodrigo,0.672,0.526,4,-6.446,0.0599,1.37E-06,0.28,0.28,123.999,Row(prediction=7),6.369051207,4,0
213,All I Want for Christmas Is You,Mariah Carey,0.336,0.627,7,-7.463,0.0384,0,0.0708,0.35,150.273,Row(prediction=4),6.369051207,4,0
214,Santa Claus Is Coming To Town,The Jackson 5,0.692,0.762,0,-4.867,0.0342,1.27E-05,0.181,0.961,146.673,Row(prediction=3),8.134003581,4,0
215,Moth To A Flame (with The Weeknd),Swedish House Mafia,0.542,0.659,8,-7.289,0.0389,0,0.105,0.109,120.122,Row(prediction=6),6.369051207,4,0
216,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,0.736,0.704,3,-7.409,0.0615,0,0.0501,0.894,149.995,Row(prediction=3),8.134003581,4,0
217,Martin & Gina,Polo G,0.832,0.534,1,-7.813,0.253,0,0.165,0.116,93.924,Row(prediction=1),4.745638466,4,0
218,Cada Quien,Grupo Firme,0.719,0.797,3,-3.89,0.0515,0,0.078,0.729,110.045,Row(prediction=3),8.134003581,4,0
219,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,0.65,0.825,0,-4.645,0.0325,2.44E-05,0.0936,0.593,118.091,Row(prediction=5),8.134003581,4,0
220,No Friends In The Industry,Drake,0.84,0.744,1,-4.751,0.113,0,0.629,0.171,83.737,Row(prediction=1),0.6264156295,4,0
221,feel like shit,Tate McRae,0.508,0.378,7,-7.158,0.0473,0,0.119,0.161,144.962,Row(prediction=6),6.369051207,4,0
222,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,0.736,0.704,3,-7.409,0.0615,0,0.0501,0.894,149.995,Row(prediction=3),8.134003581,4,0
223,Forever Winter (Taylor's Version) (From The Vault),Taylor Swift,0.611,0.552,7,-5.828,0.031,0,0.134,0.41,116.012,Row(prediction=4),6.369051207,4,0
224,MONTERO (Call Me By Your Name),Lil Nas X,0.593,0.503,8,-6.725,0.22,0,0.405,0.71,178.781,Row(prediction=0),6.369051207,4,0
225,Buy Dirt,Jordan Davis,0.586,0.559,4,-6.725,0.05,0,0.0872,0.437,177.945,Row(prediction=4),6.369051207,4,0
226,Está Dañada,Ivan Cornejo,0.405,0.565,1,-9.266,0.0372,0.0195,0.107,0.166,159.892,Row(prediction=1),4.565296499,4,0
227,I Love You So,The Walters,0.575,0.648,10,-4.891,0.0358,0,0.115,0.466,75.977,Row(prediction=2),9.999432898,4,0
228,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",Internet Money,0.792,0.707,7,-5.218,0.0623,0,0.12,0.408,134.997,Row(prediction=4),6.369051207,4,0
229,Closer,The Chainsmokers,0.748,0.524,8,-5.599,0.0338,0,0.111,0.661,95.01,Row(prediction=2),9.999432898,4,0
230,Cold Heart - PNAU Remix,Elton John,0.796,0.798,1,-6.312,0.0317,4.19E-05,0.0952,0.942,116.032,Row(prediction=3),8.134003581,4,0
231,Can I Get It,Adele,0.703,0.68,9,-6.118,0.0431,0,0.178,0.536,97.985,Row(prediction=2),9.999432898,4,0
232,Ghost,Justin Bieber,0.601,0.741,2,-5.569,0.0478,2.91E-05,0.415,0.441,153.96,Row(prediction=1),4.565296499,4,0
233,In The Bible (with Lil Durk & Giveon),Drake,0.686,0.385,7,-8.35,0.297,0,0.131,0.147,143.07,Row(prediction=6),4.745638466,4,0
234,Leave Before You Love Me (with Jonas Brothers),Marshmello,0.721,0.738,7,-4.77,0.0403,4.41E-06,0.118,0.637,119.976,Row(prediction=2),9.999432898,4,0
235,Don't Stop Believin',Journey,0.5,0.748,4,-9.072,0.0363,0,0.447,0.514,118.852,Row(prediction=0),4.565296499,4,0
236,All Night Parking (with Erroll Garner) Interlude,Adele,0.734,0.497,8,-9.666,0.166,2.35E-05,0.194,0.307,127.989,Row(prediction=6),6.369051207,4,0
237,family ties (with Kendrick Lamar),Baby Keem,0.711,0.611,1,-5.453,0.329,0,0.231,0.144,134.14,Row(prediction=1),4.745638466,4,0
238,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),"Tyler, The Creator",0.493,0.653,0,-5.666,0.0466,0,0.511,0.852,142.347,Row(prediction=5),8.134003581,4,0
239,I Almost Do (Taylor's Version),Taylor Swift,0.511,0.559,4,-6.587,0.0264,0,0.113,0.248,145.88,Row(prediction=4),6.369051207,4,0
240,Jack & Diane,John Mellencamp,0.811,0.41,9,-8.214,0.0391,6.63E-06,0.0799,0.626,103.965,Row(prediction=2),9.999432898,4,0
241,Juliet,Cavetown,0.546,0.586,6,-8.488,0.0313,0.00114,0.0562,0.364,131.778,Row(prediction=4),6.369051207,4,0
242,Jumpin (feat. Polo G),NLE Choppa,0.826,0.616,2,-5.479,0.328,0,0.287,0.612,127.925,Row(prediction=5),4.745638466,4,0
243,Holly Jolly Christmas,Michael Bublé,0.647,0.465,7,-8.308,0.0428,0,0.0882,0.699,151.251,Row(prediction=4),6.369051207,4,0
244,Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version,Gene Autry,0.834,0.371,1,-11.99,0.0358,0,0.275,0.976,96.628,Row(prediction=5),0.2678137986,4,0
245,Bad Man (Smooth Criminal),Polo G,0.882,0.662,0,-6.382,0.242,0,0.106,0.57,120.034,Row(prediction=5),4.745638466,4,0
246,Always Forever,Cults,0.174,0.742,8,-5.93,0.0485,0.281,0.198,0.36,163.378,Row(prediction=4),6.369051207,4,0
247,El Tóxico,Grupo Firme,0.626,0.503,10,-5.087,0.141,0,0.234,0.821,72.985,Row(prediction=2),9.999432898,4,0
248,I Fall Apart,Post Malone,0.556,0.538,8,-5.408,0.0382,0,0.196,0.291,143.95,Row(prediction=4),6.369051207,4,0
249,Jingle Bell Rock,Bobby Helms,0.754,0.424,2,-8.463,0.0363,0,0.0652,0.806,119.705,Row(prediction=5),0.2678137986,4,0
250,Life Goes On,Oliver Tree,0.7,0.49,0,-5.187,0.076,0,0.117,0.569,79.982,Row(prediction=5),5.523339372,5,0
251,Billie Jean,Michael Jackson,0.92,0.654,11,-3.051,0.0401,0.0158,0.0359,0.847,117.046,Row(prediction=2),5.492151291,5,0
252,edamame (feat. Rich Brian),bbno$,0.815,0.848,4,-4.704,0.115,0.000162,0.0265,0.684,106.032,Row(prediction=3),5.523339372,5,0
253,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,0.736,0.704,3,-7.409,0.0615,0,0.0501,0.894,149.995,Row(prediction=3),5.523339372,5,0
254,Godzilla (feat. Juice WRLD),Eminem,0.808,0.745,10,-5.26,0.342,0,0.292,0.829,165.995,Row(prediction=2),1.740184263,5,0
255,Flex (feat. Juice WRLD),Polo G,0.752,0.673,10,-5.792,0.153,0,0.133,0.35,164.009,Row(prediction=4),5.492151291,5,0
256,Drip Too Hard (Lil Baby & Gunna),Lil Baby,0.897,0.662,1,-6.903,0.292,0,0.534,0.389,112.511,Row(prediction=1),5.161055375,5,0
257,By Your Side,Rod Wave,0.649,0.508,8,-10.232,0.0959,3.59E-05,0.0736,0.405,157.975,Row(prediction=4),9.993783429,5,0
258,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,0.823,0.586,6,-6.606,0.2,0,0.193,0.347,125.971,Row(prediction=4),5.492151291,5,0
259,Easy On Me,Adele,0.604,0.366,5,-7.519,0.0282,0,0.133,0.13,141.981,Row(prediction=6),9.993783429,5,0
260,Strangers By Nature,Adele,0.387,0.253,5,-8.901,0.0336,0.000159,0.0848,0.134,68.004,Row(prediction=7),5.533872642,5,0
261,Happier Than Ever,Billie Eilish,0.332,0.225,0,-8.697,0.0348,0.00349,0.128,0.297,81.055,Row(prediction=7),5.533872642,5,0
262,E-ER (feat. Lil Yachty),DJ Scheme,0.952,0.29,8,-11.459,0.428,0,0.107,0.394,130.083,Row(prediction=6),0.2184555419,5,0
263,Easy On Me,Adele,0.604,0.366,5,-7.519,0.0282,0,0.133,0.13,141.981,Row(prediction=6),9.993783429,5,0
264,Leave Before You Love Me (with Jonas Brothers),Marshmello,0.721,0.738,7,-4.77,0.0403,4.41E-06,0.118,0.637,119.976,Row(prediction=2),5.492151291,5,0
265,Already Dead,Juice WRLD,0.74,0.501,1,-6.339,0.0592,0,0.114,0.119,83.5,Row(prediction=7),5.533872642,5,0
266,Closer,The Chainsmokers,0.748,0.524,8,-5.599,0.0338,0,0.111,0.661,95.01,Row(prediction=2),5.492151291,5,0
267,All I Ask,Adele,0.591,0.28,4,-5.494,0.0283,0,0.124,0.348,141.916,Row(prediction=7),9.993783429,5,0
268,Already Dead,Juice WRLD,0.74,0.501,1,-6.339,0.0592,0,0.114,0.119,83.5,Row(prediction=7),5.533872642,5,0
269,Drip Too Hard (Lil Baby & Gunna),Lil Baby,0.897,0.662,1,-6.903,0.292,0,0.534,0.389,112.511,Row(prediction=1),5.161055375,5,0
270,Freaks,Surf Curse,0.345,0.941,9,-9.918,0.0466,0.633,0.0511,0.407,179.626,Row(prediction=4),3.502469089,5,0
271,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,0.717,0.671,0,-5.077,0.0337,2.54E-06,0.0921,0.699,110.054,Row(prediction=5),5.523339372,5,0
272,First Love / Late Spring,Mitski,0.445,0.543,0,-8.196,0.0272,0.0137,0.202,0.102,99.963,Row(prediction=1),5.533872642,5,0
273,Get You (feat. Kali Uchis),Daniel Caesar,0.658,0.294,4,-8.533,0.0321,5.2E-05,0.0749,0.358,74.038,Row(prediction=7),5.533872642,5,0
274,I GUESS I'M IN LOVE,Clinton Kane,0.422,0.34,0,-6.577,0.0351,1.77E-05,0.149,0.223,77.213,Row(prediction=7),5.533872642,5,0
275,I Drink Wine,Adele,0.437,0.565,10,-5.596,0.0466,0,0.119,0.306,115.389,Row(prediction=6),5.492151291,5,0
276,Collard Greens,ScHoolboy Q,0.825,0.575,11,-4.87,0.0633,9.94E-06,0.205,0.65,153.954,Row(prediction=2),5.492151291,5,0
277,Alien Blues,Vundabar,0.464,0.682,10,-8.541,0.033,0.832,0.0856,0.455,80.062,Row(prediction=2),3.502469089,5,0
278,Está Dañada,Ivan Cornejo,0.405,0.565,1,-9.266,0.0372,0.0195,0.107,0.166,159.892,Row(prediction=1),5.523339372,5,0
279,Ramen & OJ,Joyner Lucas,0.597,0.571,1,-6.205,0.293,0,0.093,0.165,106.196,Row(prediction=1),5.533872642,5,0
280,Cada Quien,Grupo Firme,0.719,0.797,3,-3.89,0.0515,0,0.078,0.729,110.045,Row(prediction=3),5.523339372,5,0
281,Está Dañada,Ivan Cornejo,0.405,0.565,1,-9.266,0.0372,0.0195,0.107,0.166,159.892,Row(prediction=1),5.523339372,5,0
282,Goodie Bag,Still Woozy,0.739,0.522,7,-12.304,0.151,0.00124,0.233,0.619,138.263,Row(prediction=6),9.993783429,5,0
283,Christmas (Baby Please Come Home),Mariah Carey,0.561,0.782,3,-7.444,0.0317,0,0.109,0.704,127.148,Row(prediction=3),5.523339372,5,0
284,Way 2 Sexy (with Future & Young Thug),Drake,0.803,0.597,11,-6.035,0.141,4.5E-06,0.323,0.331,136.008,Row(prediction=0),5.492151291,5,0
285,Bandit (with YoungBoy Never Broke Again),Juice WRLD,0.474,0.631,5,-5.884,0.343,0,0.132,0.425,180.051,Row(prediction=4),1.740184263,5,0
286,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,0.724,0.276,7,-12.25,0.0599,0,0.116,0.718,112.874,Row(prediction=6),9.993783429,5,0
287,Need to Know,Doja Cat,0.664,0.609,1,-6.509,0.0707,0,0.0926,0.194,130.041,Row(prediction=1),5.523339372,5,0
288,Cry Your Heart Out,Adele,0.756,0.713,7,-6.917,0.102,3.35E-06,0.248,0.59,125.064,Row(prediction=2),5.492151291,5,0
289,HOT DEMON B!TCHES NEAR U ! ! !,CORPSE,0.788,0.764,7,-4.054,0.254,0,0.224,0.841,100.095,Row(prediction=2),5.161055375,5,0
290,Heat Waves,Glass Animals,0.761,0.525,11,-6.9,0.0944,6.7E-06,0.0921,0.531,80.87,Row(prediction=2),5.492151291,5,0
291,exile (feat. Bon Iver),Taylor Swift,0.298,0.38,6,-8.426,0.0287,5.62E-05,0.11,0.152,75.602,Row(prediction=7),5.533872642,5,0
292,Good Days,SZA,0.436,0.655,1,-8.37,0.0583,8.1E-06,0.688,0.412,121.002,Row(prediction=1),5.523339372,5,0
293,Blinding Lights,The Weeknd,0.514,0.73,1,-5.934,0.0598,9.54E-05,0.0897,0.334,171.005,Row(prediction=1),5.523339372,5,0
294,For Tonight,Giveon,0.442,0.517,9,-7.807,0.0548,0,0.114,0.2,79.867,Row(prediction=6),5.492151291,5,0
295,Rich MF (feat. Polo G & Lil Durk),Trippie Redd,0.756,0.698,6,-5.464,0.178,0,0.221,0.66,77.497,Row(prediction=2),5.161055375,5,0
296,No Role Modelz,J. Cole,0.692,0.521,10,-8.465,0.33,0,0.0565,0.463,100.45,Row(prediction=2),0.2184555419,5,0
297,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Taylor Swift,0.391,0.715,0,-4.516,0.0495,0,0.183,0.473,149.654,Row(prediction=5),5.523339372,5,0
298,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,0.728,0.783,11,-4.424,0.266,0,0.434,0.555,77.011,Row(prediction=2),5.161055375,5,0
299,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,0.724,0.276,7,-12.25,0.0599,0,0.116,0.718,112.874,Row(prediction=6),9.993783429,5,0
300,Christmas (Baby Please Come Home),Darlene Love,0.325,0.759,8,-7.146,0.053,0.000362,0.0773,0.36,126.627,Row(prediction=4),9.99999957,6,0
301,Begin Again (Taylor's Version),Taylor Swift,0.519,0.527,7,-7.673,0.0274,0,0.132,0.267,78.915,Row(prediction=6),9.99999957,6,0
302,Jungle,Drake,0.697,0.235,7,-8.651,0.0534,0.000144,0.107,0.378,99.947,Row(prediction=6),3.021330993,6,0
303,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",Nardo Wick,0.739,0.74,5,-5.86,0.333,0,0.161,0.488,75.575,Row(prediction=2),8.558561215,6,0
304,Goosebumps - Remix,Travis Scott,0.841,0.593,1,-7.846,0.0379,0,0.124,0.808,124.917,Row(prediction=5),3.423703732,6,0
305,Empty,Juice WRLD,0.745,0.561,0,-4.869,0.0807,0,0.133,0.449,77.557,Row(prediction=5),7.221400812,6,0
306,A Holly Jolly Christmas - Single Version,Burl Ives,0.683,0.375,0,-13.056,0.0303,0,0.076,0.888,140.467,Row(prediction=5),7.221400812,6,0
307,Jack & Diane,John Mellencamp,0.811,0.41,9,-8.214,0.0391,6.63E-06,0.0799,0.626,103.965,Row(prediction=2),9.99999957,6,0
308,If I Didn't Love You,Jason Aldean,0.456,0.679,1,-4.802,0.0324,0,0.103,0.483,184.075,Row(prediction=5),7.221400812,6,0
309,Dynamite,BTS,0.746,0.765,6,-4.41,0.0993,0,0.0936,0.737,114.044,Row(prediction=3),9.99999957,6,0
310,Doin' This,Luke Combs,0.593,0.552,1,-5.838,0.028,1.71E-05,0.11,0.39,115,Row(prediction=1),7.221400812,6,0
311,DNA.,Kendrick Lamar,0.638,0.523,1,-6.664,0.357,0,0.0842,0.422,139.913,Row(prediction=1),7.221400812,6,0
312,Oh My God,Adele,0.534,0.725,1,-3.906,0.046,0,0.0264,0.55,88.098,Row(prediction=5),3.423703732,6,0
313,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,0.728,0.783,11,-4.424,0.266,0,0.434,0.555,77.011,Row(prediction=2),8.558561215,6,0
314,Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,0.905,0.647,10,-5.065,0.107,0,0.282,0.367,130.97,Row(prediction=0),8.558561215,6,0
315,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,0.728,0.783,11,-4.424,0.266,0,0.434,0.555,77.011,Row(prediction=2),8.558561215,6,0
316,Just the Way You Are,Bruno Mars,0.635,0.841,5,-5.379,0.0422,0,0.0622,0.424,109.021,Row(prediction=4),9.99999957,6,0
317,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,0.736,0.704,3,-7.409,0.0615,0,0.0501,0.894,149.995,Row(prediction=3),3.423703732,6,0
318,Wildest Dreams (Taylor's Version),Taylor Swift,0.583,0.67,8,-7.289,0.0646,0.0001,0.126,0.498,140.061,Row(prediction=4),9.99999957,6,0
319,2055,Sleepy Hallow,0.829,0.512,6,-5.865,0.187,0,0.12,0.638,80.511,Row(prediction=2),9.99999957,6,0
320,Mood (feat. iann dior),24kGoldn,0.701,0.716,7,-3.671,0.0361,0,0.324,0.732,91.007,Row(prediction=2),8.558561215,6,0
321,Break from Toronto,PARTYNEXTDOOR,0.596,0.678,9,-5.18,0.0335,0.004,0.418,0.259,117.066,Row(prediction=0),8.558561215,6,0
322,For Tonight,Giveon,0.442,0.517,9,-7.807,0.0548,0,0.114,0.2,79.867,Row(prediction=6),9.99999957,6,0
323,Everybody Talks,Neon Trees,0.471,0.924,8,-3.906,0.0586,0,0.313,0.725,154.961,Row(prediction=2),1.868781013,6,0
324,Smokin Out The Window,Bruno Mars,0.627,0.618,2,-8.529,0.0437,0,0.351,0.848,82.03,Row(prediction=5),3.423703732,6,0
325,Holly Jolly Christmas,Michael Bublé,0.647,0.465,7,-8.308,0.0428,0,0.0882,0.699,151.251,Row(prediction=4),9.99999957,6,0
326,Way 2 Sexy (with Future & Young Thug),Drake,0.803,0.597,11,-6.035,0.141,4.5E-06,0.323,0.331,136.008,Row(prediction=0),8.558561215,6,0
327,Cold Heart - PNAU Remix,Elton John,0.796,0.798,1,-6.312,0.0317,4.19E-05,0.0952,0.942,116.032,Row(prediction=3),3.423703732,6,0
328,MONTERO (Call Me By Your Name),Lil Nas X,0.593,0.503,8,-6.725,0.22,0,0.405,0.71,178.781,Row(prediction=0),1.868781013,6,0
329,Hold On,Adele,0.366,0.364,0,-7.814,0.0433,1.15E-05,0.165,0.459,165.902,Row(prediction=1),7.221400812,6,0
330,Bad Habits,Ed Sheeran,0.807,0.893,11,-3.745,0.0347,2.79E-05,0.366,0.537,126.011,Row(prediction=2),8.558561215,6,0
331,First Love / Late Spring,Mitski,0.445,0.543,0,-8.196,0.0272,0.0137,0.202,0.102,99.963,Row(prediction=1),7.221400812,6,0
332,Do You Hear What I Hear? - Remastered 2006,Bing Crosby,0.566,0.246,10,-15.499,0.0276,1.48E-06,0.195,0.412,101.529,Row(prediction=6),0.241910046,6,0
333,Whiskey Glasses,Morgan Wallen,0.614,0.68,6,-4.58,0.0289,1.84E-06,0.115,0.707,149.959,Row(prediction=3),9.99999957,6,0
334,After Dark,Mr.Kitty,0.585,0.595,8,-10.444,0.0328,0.266,0.0837,0.039,140.037,Row(prediction=6),0.001834581894,6,0
335,Enchanted,Taylor Swift,0.455,0.623,8,-3.878,0.0288,0.000424,0.146,0.208,163.893,Row(prediction=4),9.99999957,6,0
336,love nwantiti (ah ah ah),CKay,0.727,0.739,8,-3.805,0.0411,0.00137,0.161,0.533,93.005,Row(prediction=2),9.99999957,6,0
337,Bad Man (Smooth Criminal),Polo G,0.882,0.662,0,-6.382,0.242,0,0.106,0.57,120.034,Row(prediction=5),7.221400812,6,0
338,Cloud 9,Beach Bunny,0.637,0.929,4,-3.593,0.0491,2.62E-05,0.344,0.902,80.974,Row(prediction=3),3.423703732,6,0
339,Happier Than Ever,Billie Eilish,0.332,0.225,0,-8.697,0.0348,0.00349,0.128,0.297,81.055,Row(prediction=7),7.221400812,6,0
340,Enter Sandman (Remastered),Metallica,0.566,0.834,6,-8.412,0.0298,0.008,0.0625,0.621,123.296,Row(prediction=3),9.99999957,6,0
341,Way 2 Sexy (with Future & Young Thug),Drake,0.803,0.597,11,-6.035,0.141,4.5E-06,0.323,0.331,136.008,Row(prediction=0),8.558561215,6,0
342,Flocky Flocky (feat. Travis Scott),Don Toliver,0.8,0.541,10,-5.05,0.0375,0,0.146,0.194,135.99,Row(prediction=6),9.99999957,6,0
343,favorite crime,Olivia Rodrigo,0.369,0.272,9,-10.497,0.0364,0,0.147,0.218,172.929,Row(prediction=6),3.021330993,6,0
344,To Be Loved,Adele,0.356,0.176,8,-8.291,0.0391,0,0.231,0.289,170.425,Row(prediction=6),3.021330993,6,0
345,Heather,Conan Gray,0.357,0.425,5,-7.301,0.0333,0,0.322,0.27,102.078,Row(prediction=7),3.021330993,6,0
346,Butter,BTS,0.759,0.459,8,-5.187,0.0948,0,0.0906,0.695,109.997,Row(prediction=2),9.99999957,6,0
347,Need to Know,Doja Cat,0.664,0.609,1,-6.509,0.0707,0,0.0926,0.194,130.041,Row(prediction=1),7.221400812,6,0
348,Easy On Me,Adele,0.604,0.366,5,-7.519,0.0282,0,0.133,0.13,141.981,Row(prediction=6),3.021330993,6,0
349,It's the Most Wonderful Time of the Year,Andy Williams,0.24,0.598,7,-8.435,0.0369,0,0.117,0.776,201.629,Row(prediction=4),1.868781013,6,0
350,Happier Than Ever,Billie Eilish,0.332,0.225,0,-8.697,0.0348,0.00349,0.128,0.297,81.055,Row(prediction=7),9.998122103,7,0
351,I Hate U,SZA,0.535,0.388,7,-9.805,0.155,0,0.11,0.412,106.703,Row(prediction=6),4.225637607,7,0
352,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,0.65,0.825,0,-4.645,0.0325,2.44E-05,0.0936,0.593,118.091,Row(prediction=5),5.620694832,7,0
353,Está Dañada,Ivan Cornejo,0.405,0.565,1,-9.266,0.0372,0.0195,0.107,0.166,159.892,Row(prediction=1),9.998122103,7,0
354,Element,Pop Smoke,0.772,0.878,2,-4.22,0.324,2.18E-06,0.251,0.305,61.311,Row(prediction=1),4.942591249,7,0
355,Leave Before You Love Me (with Jonas Brothers),Marshmello,0.721,0.738,7,-4.77,0.0403,4.41E-06,0.118,0.637,119.976,Row(prediction=2),8.899590206,7,0
356,"Hey, Soul Sister",Train,0.673,0.886,1,-4.44,0.0431,0,0.0826,0.795,97.012,Row(prediction=3),5.620694832,7,0
357,Beer Never Broke My Heart,Luke Combs,0.538,0.863,1,-4.483,0.0481,0,0.0874,0.637,77.001,Row(prediction=5),5.620694832,7,0
358,Flex (feat. Juice WRLD),Polo G,0.752,0.673,10,-5.792,0.153,0,0.133,0.35,164.009,Row(prediction=4),8.899590206,7,0
359,Break from Toronto,PARTYNEXTDOOR,0.596,0.678,9,-5.18,0.0335,0.004,0.418,0.259,117.066,Row(prediction=0),4.565296499,7,0
360,Flex (feat. Juice WRLD),Polo G,0.752,0.673,10,-5.792,0.153,0,0.133,0.35,164.009,Row(prediction=4),8.899590206,7,0
361,Jungle,Drake,0.697,0.235,7,-8.651,0.0534,0.000144,0.107,0.378,99.947,Row(prediction=6),4.225637607,7,0
362,Hellcats & Trackhawks,Only The Family,0.841,0.672,1,-5.557,0.371,0,0.321,0.599,157.026,Row(prediction=5),0.6264156295,7,0
363,Beggin',Måneskin,0.714,0.8,11,-4.808,0.0504,0,0.359,0.589,134.002,Row(prediction=2),4.565296499,7,0
